,PTEN
"SUMF2>TTC1,+",1
"PPP4R3A>TTC1,+",1
"HIGD2A>TTC1,+",1
"HYAL2>YWHAH,+",1
"SMC4>CBX3,+",1
"CCDC88A>AES,+",1
"SAP30BP>PPP4R3A,+",1
"CCDC88A>FDPS,+",1
"SUGT1>PPP4R3A,+",1
"CBX3>GABARAPL1,-",1
"SLC39A1>SAT2,+",1
"LAP3>ATP5F1A,+",1
"PSMC4>PSMB3,+",1
"CCT5>TMEM50B,-",1
"PSMA1>PSMB3,+",1
"TOMM22>TSC22D3,-",1
"SUMF2>FAM107B,+",1
"IFNAR2>SHOC2,+",1
"TXNDC12>PTEN,+",1
"KDM6B>STX12,+",1
"SP110>ERBIN,+",1
"VAT1>SMG1,+",1
"RPL36AL>PSMB3,+",1
"MAGT1>GOLGA2,+",1
"PSMB1>SP110,+",1
"HNRNPUL1>TSPAN4,+",1
"SAP30BP>TNFAIP1,+",1
"PPP3CA>ERBIN,+",1
"LAMA5>PSMA1,+",1
"RAB4A>ERBIN,-",1
"CALCOCO2>SEC61G,+",1
"PSMB3>RILPL2,+",1
